"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
750.94, 34.79, -Inf, 38.07, 0.15, NA, NA, 3.27, Inf, 13.92, NA, 20, "all", 50, 572.402625521116, 0.146669348413717, 20, 36.812917359656, 572.402625521116, 566.875026856021, 579.180334011051, 0.13565394831892, 0.161216528051236, 0.00657631769085733, 3.20985509983612, 6
726.76, 34.83, -Inf, 38.16, 0.13, NA, NA, 3.32, Inf, 15.46, NA, 20, "all", 100, 571.063152667609, 0.129915813824492, 20, 36.9032242406444, 571.063152667609, 568.569225747648, 574.029906381449, 0.122875714239295, 0.137127213067278, 0.00359438937696665, 1.31231447950872, 6
593.37, 34.63, -Inf, 38.09, 0.09, NA, NA, 3.46, Inf, 21.02, NA, 20, "all", 200, 502.999924614388, 0.090243245527672, 20, 36.8491894560083, 502.999924614388, 500.064571279293, 505.889368215361, 0.0834529867618262, 0.097316540196695, 0.00360055961980445, 1.50953417734507, 6
795.38, 34.83, -Inf, 38, 0.19, NA, NA, 3.17, Inf, 11.17, NA, 25, "all", 50, 558.269324988336, 0.190842991005149, 20, 36.7357326791217, 633.648348653656, 554.315891002062, 562.735890597769, 0.183018727861545, 0.203058668752151, 0.0050277806510436, 2.18327063454835, 6
719.98, 34.98, -Inf, 38.2, 0.17, NA, NA, 3.23, Inf, 12.57, NA, 25, "all", 100, 526.119502451008, 0.167438672011303, 20, 36.9449921850575, 587.95403800835, 523.35239159963, 529.610767412407, 0.160413600309133, 0.175694833748829, 0.00391434599184018, 1.61098829615104, 6
669.76, 34.82, -Inf, 38.13, 0.14, NA, NA, 3.31, Inf, 14.95, NA, 25, "all", 200, 521.408742173332, 0.13503848699448, 20, 36.874315782008, 570.294183267871, 518.560555404948, 525.129212743203, 0.127665109943305, 0.144330948821854, 0.00418405989995343, 1.68787597869032, 6
743.62, 28.87, -Inf, 32, 0.15, 9.19, NA, 3.13, Inf, 12.9, -9.03, 15, "all", 50, 626.43711726204, 0.154157896494597, 20, 30.7946141295587, 563.513504114193, 622.150858938587, 630.61911576188, 0.143889124501212, 0.163996007244032, 0.0050136893096852, 2.18132386817839, 7
723.74, 34.86, -Inf, 38.17, 0.13, NA, NA, 3.31, Inf, 15.03, NA, 15, "all", 100, 563.662491081048, 0.134480494571594, 20, 36.9145588836041, 513.942106105422, 561.647203539033, 565.940641476705, 0.130124177007315, 0.139283958255928, 0.00241492771416347, 1.12472958606525, 7
613.7, 34.76, -Inf, 38.21, 0.09, NA, NA, 3.45, Inf, 20.22, NA, 15, "all", 200, 515.230404555176, 0.0946914884160408, 20, 36.96108796431, 482.794677121311, 512.35379887797, 518.508265003643, 0.0879372699701386, 0.102275677043998, 0.00362687626388266, 1.56427237530478, 7
737.97, 34.81, -Inf, 38.09, 0.14, NA, NA, 3.28, Inf, 14.1, NA, 20, "all", 50, 564.455336579056, 0.144629739300029, 20, 36.8381304755667, 564.455336579056, 558.772636113197, 570.092252968276, 0.134038030022775, 0.157681949398415, 0.00605944754123404, 2.86059473690962, 7
