"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
870.96, 31.49, -31.73, 44.99, 0.29, 0.83, NA, 13.5, 76.72, 11.96, -0.54, 20, "all", 100, 599.314242506741, 0.309441228888535, 3.67755251804727, 36.7689842342247, 599.086387408685, 583.633568731712, 616.101839511773, 0.276755217549065, 0.34211107369149, 0.0169839539341053, 8.41750257532957, 8
766.12, 30.89, -29.65, 46.87, 0.28, 0.85, NA, 15.98, 76.52, 12.46, -0.56, 20, "all", 200, 539.197411264674, 0.327711694444467, 3.060960382496, 36.5135604388204, 538.354728449836, 533.130138047602, 545.793606955123, 0.310919798119029, 0.34826498498607, 0.00925936527027702, 3.27496096184535, 8
907.94, 32, -Inf, 44.39, 0.22, 0.83, NA, 12.39, Inf, 13.89, -0.61, 25, "all", 50, 679.309353479544, 0.22114716821165, 4.2020317702408, 37.6235388490628, 785.669427215474, 664.008744153881, 693.166283518098, 0.195810667615305, 0.24905412318174, 0.0134615062480865, 7.21172515091095, 8
917.21, 31.77, -34.62, 45.77, 0.28, 0.79, NA, 14, 80.39, 12.52, -0.51, 25, "all", 100, 640.33565349102, 0.290958490467929, 3.56890344012583, 37.3054180937463, 773.576846865292, 629.30459527575, 648.524022252861, 0.27300182917172, 0.310276266949963, 0.00924216694216074, 4.84881011813197, 8
851.42, 33.61, -Inf, 44.78, 0.22, 1.05, NA, 11.17, Inf, 13.21, -0.83, 25, "all", 200, 597.851207981432, 0.229706255475724, 4.73592448847481, 38.7930753525572, 696.102417714691, 588.926694782448, 606.57279736999, 0.215195349672342, 0.246115001086897, 0.00795671361681116, 4.61840631645034, 8
950.62, 29.09, -30.92, 47.81, 0.29, 0.68, NA, 18.72, 78.73, 13.32, -0.39, 15, "all", 50, 736.436631043826, 0.329448607303622, 2.57668754942505, 35.0733863887356, 586.65349154305, 726.461215758963, 744.661042150734, 0.312834117168176, 0.348457252036094, 0.00902853938338074, 4.6022273849727, 9
1030.64, 30.86, -Inf, 46.64, 0.23, 0.78, NA, 15.78, Inf, 14.12, -0.56, 15, "all", 100, 782.317783817935, 0.25401715412201, 3.17063774543478, 37.1219574427194, 657.024354213745, 771.979593450975, 791.303045497179, 0.23799111500961, 0.271817647168983, 0.00867363098053144, 4.99148076560087, 9
861.32, 29.96, -35.13, 46.02, 0.26, 0.68, NA, 16.06, 81.15, 13.1, -0.43, 15, "all", 200, 649.183205708193, 0.296001052717515, 3.04916338808281, 35.8641244220344, 529.644322824989, 640.593277257429, 658.93276707489, 0.27331991696484, 0.317853223035395, 0.0114493321975582, 4.69183702801965, 9
757.35, 32.28, -28.29, 45.06, 0.28, 1, NA, 12.78, 73.36, 11.32, -0.72, 20, "all", 50, 490.495150146227, 0.328272372090755, 3.89553173654593, 37.2890374073025, 490.403542566231, 467.493232381475, 517.870318264385, 0.279128089453822, 0.391325010170955, 0.0285083197326877, 12.7975538642315, 9
864.89, 31.5, -32.8, 44.63, 0.29, 0.84, NA, 13.14, 77.43, 11.97, -0.56, 20, "all", 100, 598.278799511817, 0.302431300731022, 3.79554045163457, 36.7404266085769, 598.099776157445, 582.467036191158, 614.978910237672, 0.272039276475748, 0.337237416053998, 0.0167336694828655, 8.39695399816788, 9
761.69, 30.9, -29.33, 46.73, 0.29, 0.85, NA, 15.83, 76.06, 12.37, -0.57, 20, "all", 200, 534.127549801662, 0.329830208391731, 3.08825644324591, 36.4792142202509, 533.329284025061, 528.382998089814, 540.046298674485, 0.314343781914359, 0.347988571780651, 0.00865940907824134, 2.98543082304405, 9
893.21, 32, -Inf, 44.38, 0.22, 0.8, NA, 12.37, Inf, 14.1, -0.58, 25, "all", 50, 672.887373911987, 0.215605942616612, 4.22227644695881, 37.6633959670904, 775.436703191807, 658.215298860794, 686.432959846599, 0.191563418180185, 0.243061179652231, 0.0132058250525695, 7.23552048365169, 9
908.77, 31.69, -34.68, 45.85, 0.28, 0.78, NA, 14.16, 80.53, 12.59, -0.51, 25, "all", 100, 636.80548834545, 0.291022987914657, 3.52516453448505, 37.2662434607686, 769.071613545148, 626.606765182069, 644.246164381851, 0.274242022477557, 0.309351511801158, 0.00866827135096604, 4.52362217857925, 9
845.08, 33.61, -Inf, 44.74, 0.22, 1.06, NA, 11.13, Inf, 13.24, -0.85, 25, "all", 200, 594.505202729839, 0.228364995078691, 4.75778444170271, 38.7870460419221, 691.597375276062, 585.492049818012, 602.8982645714, 0.21351755420127, 0.243969800206358, 0.00803388284566997, 4.62397089042977, 9
945.8, 29.06, -30.84, 47.81, 0.29, 0.68, NA, 18.75, 78.65, 13.31, -0.39, 15, "all", 50, 733.302464839612, 0.330166511391141, 2.57270292819679, 35.0415307196735, 583.854852114424, 725.413961178064, 742.476947814818, 0.314020277140278, 0.349716031916898, 0.00870032575734467, 4.26661556582659, 10
1024.79, 30.82, -Inf, 46.7, 0.23, 0.78, NA, 15.88, Inf, 14.17, -0.55, 15, "all", 100, 779.759229982685, 0.253530586586795, 3.14891199925243, 37.1093604356014, 655.089337609547, 769.589291805503, 789.785994762677, 0.235682704842061, 0.272924894774515, 0.00941523496852218, 5.16586923905481, 10
855, 29.9, -34.61, 46.13, 0.26, 0.67, NA, 16.24, 80.74, 13.09, -0.41, 15, "all", 200, 644.667260655421, 0.299539022839971, 3.01083614752583, 35.8028398970701, 524.665891031544, 636.160674681708, 654.379601880693, 0.277931608320764, 0.320973439396082, 0.0111446902060065, 4.54631525071959, 10
747.95, 32.38, -27.5, 45.03, 0.29, 1.01, NA, 12.64, 72.53, 11.19, -0.72, 20, "all", 50, 478.714497268712, 0.333324138888389, 3.93848053289745, 37.3277255049198, 478.634641091277, 457.157514821244, 505.726360470683, 0.281864212529287, 0.391842259771898, 0.0287245243188534, 12.5295426523593, 10
857.92, 31.48, -32.55, 44.78, 0.29, 0.83, NA, 13.3, 77.33, 11.99, -0.54, 20, "all", 100, 593.251866280886, 0.304119904590867, 3.74353851479119, 36.7549319221952, 593.054777505726, 579.501387560228, 609.091324933617, 0.275284127686261, 0.333633276666654, 0.0151664237703664, 7.53748992471287, 10
753.97, 30.93, -29.9, 46.67, 0.28, 0.86, NA, 15.74, 76.57, 12.41, -0.57, 20, "all", 200, 529.958725481857, 0.325607977304637, 3.1092477679337, 36.5324413350508, 529.215897392475, 524.09919671319, 535.743404691062, 0.310335472086817, 0.341671119452743, 0.00803170301615769, 2.93826171469446, 10
878.19, 32.06, -Inf, 44.25, 0.21, 0.8, NA, 12.2, Inf, 14.37, -0.59, 25, "all", 50, 667.250565860487, 0.207247569222177, 4.31176194750374, 37.7193328181292, 764.835918661095, 652.95960602337, 681.275632813737, 0.183916789666732, 0.232594465888547, 0.0125685260901726, 7.40809379637017, 10
900.81, 31.68, -35.5, 45.76, 0.27, 0.8, NA, 14.08, 81.26, 12.67, -0.52, 25, "all", 100, 634.755284728022, 0.286333225256524, 3.55054224872669, 37.2697186725508, 764.347093506311, 624.663959174936, 643.105006729202, 0.269211264304372, 0.303839496326532, 0.00881410181758755, 4.56516918523211, 10
837.55, 33.53, -Inf, 44.87, 0.21, 1.05, NA, 11.34, Inf, 13.36, -0.84, 25, "all", 200, 591.418127114398, 0.228113748958449, 4.65954918776352, 38.7762732611048, 687.854669233466, 582.430675783006, 599.933892817092, 0.212367549325814, 0.243687803508849, 0.00799623029727737, 4.54317820140997, 10
