current_date,starting_date,name,current_count,starting_count,previous_count,cultured_at_start_ml,volume_at_start_ml,culture_time_days,growth_rate_gen_per_day
2021-03-24,2021-03-19,15_200_D,20000,472.4409449,30000,0.2,12.7,5.0000,1.0807
2021-03-29,2021-03-24,15_200_A,31666,866.1417323,55000,0.2,12.7,5.0000,1.0384
2021-03-29,2021-03-24,15_200_B,21666,834.6456693,53000,0.2,12.7,5.0000,0.9396
2021-03-29,2021-03-24,15_200_C,13333,433.0708661,27500,0.2,12.7,5.0000,0.9889
2021-03-29,2021-03-24,15_200_D,10000,314.9606299,20000,0.2,12.7,5.0000,0.9977
2021-04-09,2021-03-29,15_200_A,27500,45.23714286,31666,0.2,140,11.0000,0.8407
2021-04-09,2021-03-29,15_200_B,10000,30.95142857,21666,0.2,140,11.0000,0.7578
2021-04-09,2021-03-29,15_200_C,5000,19.04714286,13333,0.2,140,11.0000,0.7306
2021-04-09,2021-03-29,15_200_D,7000,14.28571429,10000,0.2,140,11.0000,0.8124
2021-03-12,2021-03-10,20_50_A,1700,39.68253968,5000, 0.1 , 12.6 ,2.0000,2.7104
2021-03-12,2021-03-10,20_50_B,1700,39.68253968,5000, 0.1 , 12.6 ,2.0000,2.7104
2021-03-12,2021-03-10,20_50_C,5000,771.4285714,97200, 0.1 , 12.6 ,2.0000,1.3482
2021-03-12,2021-03-10,20_50_D,10400,771.4285714,97200, 0.1 , 12.6 ,2.0000,1.8765
2021-03-17,2021-03-12,20_50_C,25000,98.03921569,5000, 0.25 , 12.75 ,5.0000,1.5989
2021-03-17,2021-03-12,20_50_D,45000,203.9215686,10400, 0.25 , 12.75 ,5.0000,1.5572
2021-03-19,2021-03-17,20_50_C,12500,490.1960784,25000, 0.25 , 12.75 ,2.0000,2.3362
2021-03-19,2021-03-17,20_50_D,75000,882.3529412,45000, 0.25 , 12.75 ,2.0000,3.2047
2021-03-24,2021-03-12,20_50_A,12500,33.33333333,1700, 0.25 , 12.75 ,12.0000,0.7126
2021-03-24,2021-03-12,20_50_B,22500,33.33333333,1700, 0.25 , 12.75 ,12.0000,0.7832
2021-03-24,2021-03-19,20_50_C,80000,196.8503937,12500,0.2,12.7,5.0000,1.7334
2021-03-24,2021-03-19,20_50_D,270000,1181.102362,75000,0.2,12.7,5.0000,1.5673
2021-03-26,2021-03-24,20_50_C,22500,634.9206349,80000, 0.1 , 12.6 ,2.0000,2.5736
2021-03-26,2021-03-24,20_50_D,15000,2142.857143,270000, 0.1 , 12.6 ,2.0000,1.4037
2021-03-29,2021-03-24,20_50_A,221666,292.96875,12500,0.3,12.8,5.0000,1.9127
2021-03-29,2021-03-24,20_50_B,303333,527.34375,22500,0.3,12.8,5.0000,1.8336
2021-03-29,2021-03-26,20_50_C,20000,354.3307087,22500,0.2,12.7,3.0000,1.9396
2021-03-29,2021-03-26,20_50_D,33333,236.2204724,15000,0.2,12.7,3.0000,2.3802
2021-04-09,2021-04-07,20_50_A,12000,294.1176471,15000,0.2,10.2,2.0000,2.6752
2021-04-09,2021-04-07,20_50_B,7000,196.0784314,10000,0.2,10.2,2.0000,2.5789
2021-04-09,2021-04-07,20_50_C,2000,98.03921569,5000,0.2,10.2,2.0000,2.1752
2021-04-09,2021-04-07,20_50_D,2000,68.62745098,3500,0.2,10.2,2.0000,2.4325
2021-03-12,2021-03-10,20_100_A,1700,39.68253968,5000, 0.1 , 12.6 ,2.0000,2.7104
2021-03-12,2021-03-10,20_100_B,1700,39.68253968,5000, 0.1 , 12.6 ,2.0000,2.7104
2021-03-12,2021-03-10,20_100_C,15000,771.4285714,97200, 0.1 , 12.6 ,2.0000,2.1406
2021-03-12,2021-03-10,20_100_D,117000,771.4285714,97200, 0.1 , 12.6 ,2.0000,3.6224
2021-03-17,2021-03-12,20_100_C,246000,294.1176471,15000, 0.25 , 12.75 ,5.0000,1.9416
2021-03-17,2021-03-12,20_100_D,515000,2294.117647,117000, 0.25 , 12.75 ,5.0000,1.5621
2021-03-19,2021-03-17,20_100_C,61666,1952.380952,246000, 0.1 , 12.6 ,2.0000,2.4906
2021-03-19,2021-03-17,20_100_D,80000,4087.301587,515000, 0.1 , 12.6 ,2.0000,2.1454
2021-03-22,2021-03-12,20_100_B,91600,33.33333333,1700, 0.25 , 12.75 ,10.0000,1.1424
2021-03-22,2021-03-19,20_100_C,18300,489.4126984,61666, 0.1 , 12.6 ,3.0000,1.7415
2021-03-22,2021-03-19,20_100_D,116000,634.9206349,80000, 0.1 , 12.6 ,3.0000,2.5044
2021-03-24,2021-03-12,20_100_A,47500,33.33333333,1700, 0.25 , 12.75 ,12.0000,0.8731
2021-03-24,2021-03-22,20_100_B,117500,3523.076923,91600, 0.50 , 13.00 ,2.0000,2.5298
2021-03-24,2021-03-22,20_100_C,62500,703.8461538,18300, 0.50 , 13.00 ,2.0000,3.2362
2021-03-24,2021-03-22,20_100_D,82500,4461.538462,116000, 0.50 , 13.00 ,2.0000,2.1044
2021-03-26,2021-03-24,20_100_B,85000,2303.921569,117500, 0.25 , 12.75 ,2.0000,2.6026
2021-03-26,2021-03-24,20_100_C,70000,1225.490196,62500, 0.25 , 12.75 ,2.0000,2.9180
2021-03-26,2021-03-24,20_100_D,85000,1617.647059,82500, 0.25 , 12.75 ,2.0000,2.8577
2021-03-29,2021-03-24,20_100_A,465000,1113.28125,47500, 0.30 , 12.80 ,5.0000,1.7413
2021-03-29,2021-03-26,20_100_B,276666,1338.582677,85000, 0.20 , 12.70 ,3.0000,2.5638
2021-03-29,2021-03-26,20_100_C,131666,1102.362205,70000, 0.20 , 12.70 ,3.0000,2.3000
2021-03-29,2021-03-26,20_100_D,176666,1338.582677,85000, 0.20 , 12.70 ,3.0000,2.3481
2021-04-09,2021-04-07,20_100_A,91111,3054.455446,308500,0.1,10.1,2.0000,2.4493
2021-04-09,2021-04-07,20_100_B,48888,1518.148515,153333,0.1,10.1,2.0000,2.5045
2021-04-09,2021-04-07,20_100_C,10000,825.0792079,83333,0.1,10.1,2.0000,1.7997
2021-04-09,2021-04-07,20_100_D,30000,1188.118812,120000,0.1,10.1,2.0000,2.3291
2021-03-12,2021-03-10,20_200_A,3333,39.68253968,5000, 0.1 , 12.6 ,2.0000,3.1961
2021-03-12,2021-03-10,20_200_B,1700,39.68253968,5000, 0.1 , 12.6 ,2.0000,2.7104
2021-03-12,2021-03-10,20_200_C,3333,771.4285714,97200, 0.1 , 12.6 ,2.0000,1.0556
2021-03-12,2021-03-10,20_200_D,15000,771.4285714,97200, 0.1 , 12.6 ,2.0000,2.1406
2021-03-17,2021-03-12,20_200_C,205000,65.35294118,3333, 0.25 , 12.75 ,5.0000,2.3230
2021-03-17,2021-03-12,20_200_D,367500,294.1176471,15000, 0.25 , 12.75 ,5.0000,2.0574
2021-03-19,2021-03-17,20_200_C,35000,1626.984127,205000, 0.1 , 12.6 ,2.0000,2.2135
2021-03-19,2021-03-17,20_200_D,95000,2916.666667,367500, 0.1 , 12.6 ,2.0000,2.5128
2021-03-22,2021-03-12,20_200_A,1080000,65.35294118,3333,0.25,12.75,10.0000,1.4012
2021-03-22,2021-03-12,20_200_B,300000,33.33333333,1700,0.25,12.75,10.0000,1.3136
2021-03-22,2021-03-19,20_200_C,70000,277.7777778,35000, 0.1 , 12.6 ,3.0000,2.6591
2021-03-22,2021-03-19,20_200_D,150000,753.968254,95000, 0.1 , 12.6 ,3.0000,2.5454
2021-03-23,2021-03-22,20_200_A,173000,25312.5,1080000, 0.3 , 12.8 ,1.0000,2.7729
2021-03-23,2021-03-22,20_200_B,38300,7031.25,300000, 0.3 , 12.8 ,1.0000,2.4455
2021-03-23,2021-03-22,20_200_C,13000,1640.625,70000, 0.3 , 12.8 ,1.0000,2.9862
2021-03-23,2021-03-22,20_200_D,13000,3515.625,150000, 0.3 , 12.8 ,1.0000,1.8867
2021-03-24,2021-03-23,20_200_A,25000,2724.409449,173000, 0.2 , 12.7 ,1.0000,3.1979
2021-03-24,2021-03-23,20_200_B,7500,603.1496063,38300, 0.2 , 12.7 ,1.0000,3.6363
2021-03-24,2021-03-23,20_200_C,2500,304.6875,13000, 0.3 , 12.8 ,1.0000,3.0365
2021-03-24,2021-03-23,20_200_D,5000,304.6875,13000, 0.3 , 12.8 ,1.0000,4.0365
2021-03-29,2021-03-24,20_200_A,321666,393.7007874,25000, 0.2 , 12.7 ,5.0000,1.9348
2021-03-29,2021-03-24,20_200_B,303333,118.1102362,7500, 0.2 , 12.7 ,5.0000,2.2653
2021-03-29,2021-03-24,20_200_C,58300,58.59375,2500, 0.3 , 12.8 ,5.0000,1.9917
2021-03-29,2021-03-24,20_200_D,20000,117.1875,5000, 0.3 , 12.8 ,5.0000,1.4830
2021-04-09,2021-04-07,20_200_A,10000,492.6059113,33333,0.15,10.15,2.0000,2.1717
2021-04-09,2021-04-07,20_200_B,10000,246.2955665,16666,0.15,10.15,2.0000,2.6717
2021-04-09,2021-04-07,20_200_C,4000,51.72413793,3500,0.15,10.15,2.0000,3.1365
2021-04-09,2021-04-07,20_200_D,6000,177.3399015,12000,0.15,10.15,2.0000,2.5402
2021-03-12,2021-03-10,25_50_A,1700,39.68253968,5000, 0.1 , 12.6 ,2.0000,2.7104
2021-03-12,2021-03-10,25_50_B,1700,39.68253968,5000, 0.1 , 12.6 ,2.0000,2.7104
2021-03-12,2021-03-10,25_50_C,10000,771.4285714,97200, 0.1 , 12.6 ,2.0000,1.8482
2021-03-12,2021-03-10,25_50_D,20000,771.4285714,97200, 0.1 , 12.6 ,2.0000,2.3482
2021-03-15,2021-03-12,25_50_A,3333,33.33333333,1700,0.25,12.75,3.0000,2.2146
2021-03-15,2021-03-12,25_50_B,3333,33.33333333,1700,0.25,12.75,3.0000,2.2146
2021-03-15,2021-03-12,25_50_C,13333,196.0784314,10000,0.25,12.75,3.0000,2.0291
2021-03-15,2021-03-12,25_50_D,83333,392.1568627,20000,0.25,12.75,3.0000,2.5771
