"intercept","slope","r2","p.val","code","temperature","concentration","treatment","replicate","density","rate.per.cell","rate.per.cell.nW"
1.87190051117898,-0.572434974434077,0.999338577212993,0,"100_25_A_8000",17.5,100,"25","A",8000,-7.15543718042596e-08,0.570737148200877
5.35257797488886,-0.694541216484538,0.999434035408216,0,"100_25_B_8000",17.5,100,"25","B",8000,-8.68176520605673e-08,0.692481226529257
-0.58323524581009,-0.906728820816479,0.999415527117153,0,"100_25_C_8000",17.5,100,"25","C",8000,-1.1334110260206e-07,0.904039488320849
2.63309187384493,-0.66855023157481,0.998511008360878,0,"100_25_D_8000",17.5,100,"25","D",8000,-8.35687789468512e-08,0.666567330158799
-7.16368374829301,0.032147423889589,0.806481160510724,3.60247660222319e-307,"100_control_A_8000",17.5,100,"control","A",8000,4.01842798619863e-09,-0.0320520755233165
16.9495513237961,0.0213163804616932,0.732979685720521,2.24279226256193e-247,"100_control_B_8000",17.5,100,"control","B",8000,2.66454755771165e-09,-0.0212531566693655
-10.4325467446977,-0.00156565464707827,0.0123107955973889,0.00114016815067343,"100_control_C_8000",17.5,100,"control","C",8000,-1.95706830884784e-10,0.00156101095888544
0.646679169194546,-0.0518981497042039,0.940488007117978,0,"100_control_D_8000",17.5,100,"control","D",8000,-6.48726871302548e-09,0.0517442212337965
-7.41799668708035,-0.625362070458195,0.996549841230393,0,"200_15_A_8000",17.5,200,"15","A",8000,-7.81702588072744e-08,0.623507263928385
-19.1040768621737,-2.13983251457003,0.990492486022089,1.48219693752374e-323,"200_15_B_10000",17.5,200,"15","B",10000,-2.13983251457003e-07,1.70678866461729
-6.45811909614454,-0.534693168748805,0.998802975075768,0,"200_15_C_5000",17.5,200,"15","C",5000,-1.06938633749761e-07,0.852971653860615
3.97783319610904,-0.534939092638345,0.998582293436298,0,"200_15_D_7000",17.5,200,"15","D",7000,-7.64198703769065e-08,0.609545689313142
-21.403972920551,-0.883051490547948,0.999294591604101,0,"200_20_A_10000",17.5,200,"20","A",10000,-8.83051490547948e-08,0.704345907484953
-31.0151192889,-0.699733352905228,0.999305938878688,0,"200_20_B_10000",17.5,200,"20","B",10000,-6.99733352905228e-08,0.558126370574039
-6.79498720395691,-0.0620980931499108,0.856282436714531,0,"200_20_C_4000",17.5,200,"20","C",4000,-1.55245232874777e-08,0.12382782386115
-8.59421405047813,-0.450629397015628,0.996759910983363,0,"200_20_D_6000",17.5,200,"20","D",6000,-7.51048995026047e-08,0.599057123655417
-0.556813635534676,-0.438603478022869,0.995976741571753,0,"200_25_A_8000",17.5,200,"25","A",8000,-5.48254347528586e-08,0.437302592290483
-17.2067562072229,-0.681156129329156,0.999267539673124,0,"200_25_B_8000",17.5,200,"25","B",8000,-8.51445161661444e-08,0.679135839170569
3.02849472210489,-0.707270117811645,0.99933433619494,0,"200_25_C_8000",17.5,200,"25","C",8000,-8.84087647264556e-08,0.705172374288607
-16.4702589724722,-0.903218026458111,0.998642106685546,0,"200_25_D_8000",17.5,200,"25","D",8000,-1.12902253307264e-07,0.900539106881026
4.68571973750537,-0.00328458690829842,0.0358873901156897,2.29241144877513e-08,"200_control_A_8000",17.5,200,"control","A",8000,-4.10573363537302e-10,0.00327484491476693
4.03494208857891,0.00164666786456471,0.0229435866755316,8.44787589196691e-06,"200_control_B_8000",17.5,200,"control","B",8000,2.05833483070589e-10,-0.00164178389341918
-3.12702666403066,0.0237233036413197,0.765229284557805,2.78007273673178e-271,"200_control_C_8000",17.5,200,"control","C",8000,2.96541295516496e-09,-0.0236529409817002
-5.59363516205362,-0.0220853845975859,0.72886417582236,1.5549609266827e-244,"200_control_D_8000",17.5,200,"control","D",8000,-2.76067307469824e-09,0.0220198799603524
-11.4641069672259,-0.83318966660874,0.997836917472012,0,"50_15_A_8000",17.5,50,"15","A",8000,-1.04148708326093e-07,0.830718449201736
-1.01600738740715,-0.533049893267127,0.987821436091237,0,"50_15_B_8000",17.5,50,"15","B",8000,-6.66312366583909e-08,0.531468882090638
-6.16374867240418,-0.27012749994096,0.979350183181672,0,"50_15_C_8000",17.5,50,"15","C",8000,-3.37659374926201e-08,0.269326309279677
-20.2659780341697,-0.59673421250401,0.995220254716226,0,"50_15_D_8000",17.5,50,"15","D",8000,-7.45917765630012e-08,0.594964315405673
15.5956559655288,-0.339853198539313,0.998031166815254,0,"50_20_A_12000",17.5,50,"20","A",12000,-2.83210998782761e-08,0.225896802261874
-19.7036883791026,-0.344454999776673,0.998499897196476,0,"50_20_B_8000",17.5,50,"20","B",8000,-4.30568749720841e-08,0.34343335581553
-3.70271962070046,-0.036007471764095,0.870367187163515,0,"50_20_C_2000",17.5,50,"20","C",2000,-1.80037358820475e-08,0.143602698412201
6.28372103941865,-0.037789774944402,0.833442398213052,0,"50_20_D_2000",17.5,50,"20","D",2000,-1.8894887472201e-08,0.150710766086531
3.36948539244033,-0.135286222143896,0.982537164594379,0,"50_25_A_8000",17.5,50,"25","A",8000,-1.6910777767987e-08,0.134884966966968
-1.36689492547739,-0.18287038321253,0.992856648759883,0,"50_25_B_4000",17.5,50,"25","B",4000,-4.57175958031324e-08,0.364655989471309
-7.15749543142702,-0.412945669266652,0.99899412387483,0,"50_25_C_8000",17.5,50,"25","C",8000,-5.16182086583315e-08,0.41172088388232
-29.8497914149783,-0.276696697028365,0.996130320885174,0,"50_25_D_8000",17.5,50,"25","D",8000,-3.45870871285456e-08,0.275876022310998
18.2586207422131,-0.0213457794295997,0.775221033886688,2.32551455411413e-279,"50_control_A_8000",17.5,50,"control","A",8000,-2.66822242869996e-09,0.0212824684407498
5.1070675490604,0.0220476347743146,0.790798273120859,1.06736768842371e-292,"50_control_B_8000",17.5,50,"control","B",8000,2.75595434678932e-09,-0.0219822421020082
-19.7885988655021,0.0223016708906921,0.813074859665798,1.3140038683571e-313,"50_control_C_8000",17.5,50,"control","C",8000,2.78770886133651e-09,-0.0222355247543212
-3.57708942577142,-0.0230035262354069,0.744344211804521,1.87305698750879e-255,"50_control_D_8000",17.5,50,"control","D",8000,-2.87544077942587e-09,0.0229352984155796
-30.3609924697626,-1.12646774025501,0.985291967927254,0,"100_15_A_8000",20,100,"15","A",8000,-1.40808467531876e-07,1.12312666822818
19.22005460861,-0.510828290798656,0.983674038907364,0,"100_15_B_8000",20,100,"15","B",8000,-6.3853536349832e-08,0.509313188277822
-15.0450174540395,-1.05522318620913,0.989802799566371,0,"100_15_C_8000",20,100,"15","C",8000,-1.31902898276141e-07,1.05209342355059
-32.8502013633393,-1.59211809601011,0.997065535883699,0,"100_15_D_8000",20,100,"15","D",8000,-1.99014762001264e-07,1.58739591796285
-25.1037219921934,-0.569346926657631,0.993085281864497,0,"100_20_A_8000",20,100,"20","A",8000,-7.11683658322039e-08,0.567658259488357
-42.3012073468239,-0.906754578420445,0.998285252840572,0,"100_20_B_8000",20,100,"20","B",8000,-1.13344322302556e-07,0.904065169528477
-28.8653771477624,-0.430908843569845,0.99315784069228,0,"100_20_C_8000",20,100,"20","C",8000,-5.38636054462306e-08,0.429630779909507
-2.7344952995139,-0.394745556041467,0.990040437749237,0,"100_20_D_8000",20,100,"20","D",8000,-4.93431945051833e-08,0.393574751687402
-38.163713421719,-0.230145296574078,0.976881412820373,3.91426099197583e-303,"100_25_A_8000",20,100,"25","A",8000,-2.87681620717598e-08,0.229462692017364
-15.428797702516,-0.133360151651261,0.9500790139393,1.29981080841221e-241,"100_25_B_8000",20,100,"25","B",8000,-1.66700189564077e-08,0.132964609145912
-70.6395975669443,-0.280329238704383,0.986793858237222,0,"100_25_C_8000",20,100,"25","C",8000,-3.50411548380479e-08,0.279497789969309
-6.55505432541878,-0.216539231353169,0.969208243425327,3.14352414720183e-280,"100_25_D_8000",20,100,"25","D",8000,-2.70674039191461e-08,0.215896982007954
7.79557369198202,0.00333878284662485,0.00949190509508304,0.0608347412438656,"100_control_A_8000",20,100,"control","A",8000,4.17347855828107e-10,-0.00332888010944573
7.21678986818062,-0.00238758186194925,0.00672388441260039,0.114854329580445,"100_control_B_8000",20,100,"control","B",8000,-2.98447732743656e-10,0.00238050036046842
-11.4504603776304,0.0109911165505563,0.157681803628332,1.83465194871044e-15,"100_control_C_8000",20,100,"control","C",8000,1.37388956881954e-09,-0.0109585172041761
-3.56190318253226,-0.011942317535232,0.204602433477317,4.13080676504786e-20,"100_control_D_8000",20,100,"control","D",8000,-1.492789691904e-09,0.0119068969531536
43.6029882846469,-0.695637147076708,0.991635863621767,0,"200_15_A_4000",20,200,"15","A",4000,-1.73909286769177e-07,1.38714781324346
37.111719775987,-0.799113055079649,0.997932440667341,0,"200_15_B_8000",20,200,"15","B",8000,-9.98891318849561e-08,0.796742907955867
49.680608298037,-0.251083190070212,0.980798269747542,7.91804425994557e-319,"200_15_C_2000",20,200,"15","C",2000,-1.25541595035106e-07,1.00135393721199
53.3534699263444,-0.190473191201609,0.930425927397562,1.16212904667546e-215,"200_15_D_2000",20,200,"15","D",2000,-9.52365956008044e-08,0.759633012029707
-19.1930982692812,-0.529646822307907,0.985402865141426,0,"200_20_A_8000",20,200,"20","A",8000,-6.62058527884884e-08,0.528075904545354
-32.5999782484795,-0.806797927262212,0.998367976640036,0,"200_20_B_8000",20,200,"20","B",8000,-1.00849740907777e-07,0.804404987021006
5.4175809312793,-0.273208303674898,0.953872405367962,6.27636212135196e-248,"200_20_C_6000",20,200,"20","C",6000,-4.55347172791496e-08,0.363197300580423
-55.0537824362137,-0.71164151185586,0.995562157964494,0,"200_20_D_8000",20,200,"20","D",8000,-8.89551889819825e-08,0.709530802899515
-2.91875261232788,-0.182786494869955,0.967181613568558,3.90388108776792e-275,"200_25_A_2000",20,200,"25","A",2000,-9.13932474349774e-08,0.728977420814292
-34.3988352632665,-0.702695719709515,0.996632996429141,0,"200_25_B_6000",20,200,"25","B",6000,-1.17115953284919e-07,0.934148724965576
-23.4618182716266,-0.40981565136549,0.975617378186218,7.0282321708379e-299,"200_25_C_6000",20,200,"25","C",6000,-6.83026085609149e-08,0.544800199369743
-9.67285091086822,-0.422797445476832,0.980790029510835,6.19187770650542e-318,"200_25_D_2000",20,200,"25","D",2000,-2.11398722738416e-07,1.68617375999168
-7.25330191323161,-0.0238499516329071,0.415115731213937,6.78919093852233e-45,"200_control_A_8000",20,200,"control","A",8000,-2.98124395411339e-09,0.0237792133388626
0.278488043830851,-0.0014886136355111,0.00377217111622079,0.237953826444852,"200_control_B_8000",20,200,"control","B",8000,-1.86076704438887e-10,0.00148419844881855
4.59043963901203,-0.00357866795531601,0.0260130715988485,0.00182995145639702,"200_control_C_8000",20,200,"control","C",8000,-4.47333494414501e-10,0.00356805372556798
2.38437423038874,0.0289172332237342,0.415816417042554,5.43759848936951e-45,"200_control_D_8000",20,200,"control","D",8000,3.61465415296677e-09,-0.028831465513249
11.0454580478534,-0.444589111312155,0.943272014724238,5.08576921814237e-232,"50_15_A_6000",20,50,"15","A",6000,-7.40981852186925e-08,0.591027296476934
16.9758689082634,-0.935282020250353,0.980843807401437,5.1092316567735e-319,"50_15_B_2000",20,50,"15","B",2000,-4.67641010125177e-07,3.73003199903339
-29.8610778545421,-1.2151494395722,0.991399085239826,0,"50_15_C_8000",20,50,"15","C",8000,-1.51893679946525e-07,1.21154534008858
-26.868816716813,-1.12080791247205,0.993920217543053,0,"50_15_D_8000",20,50,"15","D",8000,-1.40100989059006e-07,1.11748362733721
-82.2514079310359,-1.20466049585174,0.999592058235553,0,"50_20_A_8000",20,50,"20","A",8000,-1.50582561981468e-07,1.20108750628384
-55.4194627853244,-0.670488943395804,0.997893280856697,0,"50_20_B_8000",20,50,"20","B",8000,-8.38111179244755e-08,0.668500291814385
-39.4817257255254,-0.460739608805063,0.990339195207556,0,"50_20_C_8000",20,50,"20","C",8000,-5.75924511006329e-08,0.459373067923669
-23.9398747935474,-0.153833505033491,0.962313398676424,4.41997689773975e-264,"50_20_D_8000",20,50,"20","D",8000,-1.92291881291864e-08,0.153377239130715
-36.8170313643162,-0.457729210272227,0.99521223790299,0,"50_25_A_8000",20,50,"25","A",8000,-5.72161512840283e-08,0.456371598149259
-35.8362372916572,-0.474008267455367,0.991504745745289,0,"50_25_B_10000",20,50,"25","B",10000,-4.74008267455367e-08,0.378081897680793
-0.852660835319001,-0.0736420923667747,0.775914431890467,1.41133835047524e-121,"50_25_C_2000",20,50,"25","C",2000,-3.68210461833873e-08,0.293694687865714
-56.6530217580239,-0.398294257928909,0.974848536336637,2.12746654248146e-296,"50_25_D_6000",20,50,"25","D",6000,-6.63823763214849e-08,0.529483904298162
8.40293839511869,0.00796400130936332,0.0714645442824085,1.72123187444079e-07,"50_control_A_8000",20,50,"control","A",8000,9.95500163670415e-10,-0.00794038030270201
-16.8592747290896,-0.0158061274057768,0.247021148133776,1.52999511188362e-24,"50_control_B_8000",20,50,"control","B",8000,-1.97576592572209e-09,0.0157592468709503
5.2355257372179,0.00851263185457529,0.085708774644892,9.12051873849595e-09,"50_control_C_8000",20,50,"control","C",8000,1.06407898182191e-09,-0.00848738362495661
3.22081059675302,-0.000670505758161869,0.000376468283522574,0.709522044733672,"50_control_D_8000",20,50,"control","D",8000,-8.38132197702336e-11,0.000668517056708321
-88.8159178596411,-3.77092332730207,0.987327297381214,9.94872890596008e-96,"100_15_A_8000",22.5,100,"15","A",8000,-4.71365415912759e-07,3.75973887346116
0.300802012186946,-0.209012366341612,0.975042134759414,3.48598752054286e-284,"100_15_B_8000",22.5,100,"15","B",8000,-2.61265457927015e-08,0.208392441468942
-8.42562140821553,-0.614933850246463,0.985249762289977,0,"100_15_C_8000",22.5,100,"15","C",8000,-7.68667312808079e-08,0.613109973528128
-13.0026248759469,-1.13497816373419,0.937849643239702,1.94218492738609e-214,"100_15_D_8000",22.5,100,"15","D",8000,-1.41872270466774e-07,1.13161185002772
-37.6513905137391,-0.896482327018633,0.997413045108693,0,"100_20_A_8000",22.5,100,"20","A",8000,-1.12060290877329e-07,0.893823385338982
-21.1839969002707,-0.889042453164411,0.994632575301656,0,"100_20_B_8000",22.5,100,"20","B",8000,-1.11130306645551e-07,0.886405577943949
-28.1045060629855,-0.604130427538878,0.991718084300238,0,"100_20_C_8000",22.5,100,"20","C",8000,-7.55163034423598e-08,0.602338593472199
-38.1624294681542,-0.721635582363928,0.991671322652987,0,"100_20_D_8000",22.5,100,"20","D",8000,-9.0204447795491e-08,0.719495231272069
-32.6478317643809,-1.38536276851791,0.975873732746684,8.95151991389477e-287,"100_25_A_8000",22.5,100,"25","A",8000,-1.73170346064739e-07,1.38125382102879
-26.7471258198949,-0.763049775147183,0.992748719905148,0,"100_25_B_8000",22.5,100,"25","B",8000,-9.53812218933979e-08,0.760786590709923
-15.9226598320142,-0.704380046635098,0.990534845212226,0,"100_25_C_8000",22.5,100,"25","C",8000,-8.80475058293872e-08,0.702290874982891
-22.4256320740777,-0.93465409202314,0.995583637305014,0,"100_25_D_8000",22.5,100,"25","D",8000,-1.16831761502892e-07,0.931881933948813
0.63431513937306,-0.0329996478557013,0.618731873155254,1.06763900742422e-75,"100_control_A_8000",22.5,100,"control","A",8000,-4.12495598196266e-09,0.0329017718168181
-14.569051336812,0.0185672813409717,0.441410250530347,1.96228191771948e-46,"100_control_B_8000",22.5,100,"control","B",8000,2.32091016762146e-09,-0.0185122113002722
3.95818923328267,0.0454591782157863,0.810345148045134,3.93908338362394e-129,"100_control_C_8000",22.5,100,"control","C",8000,5.68239727697329e-09,-0.0453243475559532
9.97654696415624,-0.0310268117010566,0.656980253744085,8.61214366327584e-84,"100_control_D_8000",22.5,100,"control","D",8000,-3.87835146263208e-09,0.0309347870394072
20.9999539277438,-0.54991542664677,0.996047292363801,0,"200_15_A_8000",22.5,200,"15","A",8000,-6.87394283308463e-08,0.548284392766764
-11.1288065067063,-1.60373316231101,0.996431903667852,0,"200_15_B_13333",22.5,200,"15","B",13333,-1.20282994248182e-07,0.959409905827489
60.4774113125332,-0.551171793428331,0.995564914965598,0,"200_15_C_4000",22.5,200,"15","C",4000,-1.37792948357083e-07,1.0990740663987
31.6006602745651,-0.574262595717727,0.992405438340439,0,"200_15_D_4000",22.5,200,"15","D",4000,-1.43565648929432e-07,1.14511869762113
-24.1553967100872,-1.01346055059007,0.996246910370535,0,"200_20_A_8000",22.5,200,"20","A",8000,-1.26682568823759e-07,1.01045465474871
-85.344706259582,-1.19153225149203,0.998972550102911,0,"200_20_B_8000",22.5,200,"20","B",8000,-1.48941531436504e-07,1.18799819993222
5.32693101390413,-0.187321703425069,0.952831674440349,1.58954318514896e-235,"200_20_C_4000",22.5,200,"20","C",4000,-4.68304258562673e-08,0.373532224912182
-135.907404510266,-2.84337027910697,0.992006935629053,2.07374017752244e-40,"200_20_D_12000",22.5,200,"20","D",12000,-2.36947523258914e-07,1.88995794789443
-12.6237997938012,-0.708296329732334,0.997084538316048,0,"200_25_A_8000",22.5,200,"25","A",8000,-8.85370412165418e-08,0.706195542493246
-40.425284953574,-1.21603226181687,0.995490932595367,0,"200_25_B_8000",22.5,200,"25","B",8000,-1.52004032727109e-07,1.212425543907
-51.0693121297293,-0.664859089762454,0.997860138219298,0,"200_25_C_8000",22.5,200,"25","C",8000,-8.31073862203068e-08,0.662887136170527
-23.4074567019361,-0.705581784940827,0.997402040375166,0,"200_25_D_8000",22.5,200,"25","D",8000,-8.81977231176034e-08,0.703489048966186
8.89187537267077,-0.028558657628421,0.42080086448875,1.18130115442682e-43,"200_control_A_8000",22.5,200,"control","A",8000,-3.56983220355263e-09,0.0284739534431912
-0.488666785950856,0.0293973012120054,0.597812644769189,1.31418585666469e-71,"200_control_B_8000",22.5,200,"control","B",8000,3.67466265150068e-09,-0.0293101096332023
-0.741775079767421,0.0383235751892552,0.717010682013483,1.62795382037603e-98,"200_control_C_8000",22.5,200,"control","C",8000,4.7904468986569e-09,-0.0382099085297876
-7.66143350695247,-0.03916221877284,0.568228384824223,3.58831916354704e-66,"200_control_D_8000",22.5,200,"control","D",8000,-4.895277346605e-09,0.0390460647197992
-33.7069811137859,-1.50735049518577,0.972170535940694,7.36726460533196e-276,"50_15_A_13333",22.5,50,"15","A",13333,-1.1305411349177e-07,0.901750385052365
